title,company,location,stipend,detail_url,role_category,skills
Wealth Management,Siddharth Shankaran,,"₹ 5,000 /month",https://internshala.com/internship/detail/part-time-wealth-management-internship-in-multiple-locations-at-siddharth-shankaran1784614852,Data Analyst,"Attention to Detail, Content Editing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Letter of recommendation, Flexible work hours, 5 days a week"
Database Research,Icon Resources,,"₹ 10,000 /month",https://internshala.com/internship/detail/database-research-internship-in-mumbai-at-icon-resources1785441179,Data Analyst,"Data Extraction, Data Preparation, Market research, Certificate, 5 days a week"
Performance Marketer,Unbundl,,"₹ 7,000 - 15,000 /month",https://internshala.com/internship/detail/performance-marketer-internship-in-delhi-at-unbundl1785077417,Data Analyst,"Facebook Ads, Google AdWords, Instagram Ads, Certificate, Letter of recommendation, Informal dress code"
Market Research,Fairvalue Insuretech Private Limited,,"₹ 2,500 - 5,000 /month",https://internshala.com/internship/detail/market-research-internship-in-noida-at-fairvalue-insuretech-private-limited1785135097,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Research and Analytics, Certificate, Letter of recommendation"
Sales and Marketing,BNM Business Solutions LLP,,"₹ 28,000 - 35,000 /month",https://internshala.com/internship/detail/sales-and-marketing-internship-in-mumbai-at-bnm-business-solutions-llp1786943256,Data Analyst,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Negotiation, Certificate, Letter of recommendation"
Customer Service/Customer Support,OpenIntervue,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-openintervue1784725895,Data Analyst,"Coordination, Customer Support, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, MS-Excel, MS-Office, Time Management, Certificate"
Customer Service/Customer Support,Kratos Gamer Network,,"₹ 20,000 - 20,001 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-kratos-gamer-network1786104505,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), Flexible work hours, 5 days a week"
Program Management,Times Internet Limited,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/program-management-internship-in-noida-at-times-internet-limited1786608899,Data Analyst,"Effective Communication, Google Docs, Google Sheets, Certificate, 5 days a week"
Data Entry,Goin' My Way,,"₹ 4,000 - 5,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-delhi-at-goin-my-way1785902943,Data Analyst,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, MS-Office, Certificate, Letter of recommendation"
Customer Service/Customer Support,Testkart,,"₹ 5,000 - 15,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-noida-at-testkart1785485997,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages"
Human Resources (HR),Ecoste,,"₹ 10,000 /month",https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-prerna-tewatia1785137517,Data Analyst,"English Proficiency (Spoken), MS-Office, Onboarding, Operations, Recruitment, Certificate, Letter of recommendation"
Telecalling,Gharbari,,"₹ 7,500 - 15,000 /month",https://internshala.com/internship/detail/telecalling-internship-in-burdwan-at-gharbari1786698280,Data Analyst,"Bengali Proficiency (Spoken), Effective Communication, Hindi Proficiency (Spoken), MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages"
HR - Operations,Ralson India Limited,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/part-time-hr-operations-internship-in-delhi-at-ralson-india-limited1784889685,Data Analyst,"Human Resources, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week"
Customer Service/Customer Support,Hey Buddy,,"₹ 20,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-noida-at-hey-buddy1784475593,Data Analyst,"Effective Communication, English Proficiency (Spoken)"
Data Entry,Vinnar Realty LLP,,"₹ 6,000 - 17,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-bangalore-at-vinnar-realty-llp1786002646,Data Analyst,"MS-Excel, MS-Office, Certificate"
Community & Partner Success (Events),Times Internet Limited,,"₹ 10,000 /month",https://internshala.com/internship/detail/community-partner-success-events-internship-in-noida-at-times-internet-limited1785758753,Data Analyst,"Effective Communication, Interpersonal skills, MS-Excel, Certificate, 5 days a week"
Operations,Toccopay,,"₹ 10,500 - 16,500 /month",https://internshala.com/internship/detail/operations-internship-in-noida-at-toccopay1785763037,Data Analyst,"MS-Office, MS-Word, Flexible work hours, Informal dress code, 5 days a week"
Digital Marketing & Business Operations,Veritem Health Private Limited,,"₹ 30,000 - 40,000 /month",https://internshala.com/internship/detail/digital-marketing-business-operations-internship-in-delhi-at-veritem-health-private-limited1784703540,Data Analyst,"Business Research, Data Analysis, Operations, Sales Management, Certificate, Letter of recommendation, Job offer"
Operations,Saregama India Limited,,"₹ 7,000 - 10,000 /month",https://internshala.com/internship/detail/operations-internship-in-mumbai-at-saregama-india-limited1786076872,Data Analyst,"Content Writing, Facebook Marketing, Social Media Marketing, Certificate, 5 days a week, Free snacks & beverages"
Client Servicing,Zinxsoft Private Limited,,"₹ 5,000 - 7,000 /month",https://internshala.com/internship/detail/client-servicing-internship-in-greater-noida-west-at-zinxsoft-private-limited1786538509,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, Certificate, Letter of recommendation"
Client Servicing,Plan Foundation,,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/client-servicing-internship-in-mumbai-at-plan-foundation1785922450,Data Analyst,"Client Interaction, Client Relationship, Customer Acquisition, MS-Office, Stakeholder Management"
Telecalling,Truway Machinery,,"₹ 18,000 - 20,000 /month",https://internshala.com/internship/detail/telecalling-internship-in-navi-mumbai-at-truway-machinery1786069348,Data Analyst,"English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, Job offer"
Customer Relationship,IDEAFUL,,"₹ 5,500 - 7,000 /month",https://internshala.com/internship/detail/customer-relationship-internship-in-thiruvananthapuram-at-ideaful1786000495,Data Analyst,"Effective Communication, Malayalam Proficiency (Spoken), Certificate, Letter of recommendation"
Supply Chain Management (SCM),Ankura Group Of Hospitals,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/supply-chain-management-scm-internship-in-hyderabad-at-ankura-group-of-hospitals1786712853,Data Analyst,"MS-Office, Letter of recommendation"
Channel Partner Operations,ClearTax,,"₹ 30,000 /month",https://internshala.com/internship/detail/channel-partner-operations-internship-in-bangalore-at-cleartax1785494724,Data Analyst,"Collaboration, Effective Communication, MS-Excel, Stakeholder Management, Time Management, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages"
Client Servicing,Medius Technologies Private Limited,,"₹ 9,500 - 10,000 /month",https://internshala.com/internship/detail/client-servicing-internship-in-multiple-locations-at-medius-technologies-private-limited1785763037,Data Analyst,"English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours"
Operations,Nkars Mobility Millenium Solutions,,"₹ 20,000 /month",https://internshala.com/internship/detail/operations-internship-in-bangalore-at-nkars-mobility-millenium-solutions1784526791,Data Analyst,"MS-Excel, SQL, Certificate, Letter of recommendation, 5 days a week"
Data Entry,3AG Networks Solutions Private Limited,,"₹ 10,000 - 11,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-bangalore-at-3ag-networks-solutions-private-limited1786084240,Data Analyst,"MS-Excel, MS-Office"
Field Sales,Metnmat Research,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/field-sales-internship-in-mumbai-at-metnmat-research1784529050,Data Analyst,"Attention to Detail, Client Interaction, Client Relationship Management (CRM), Effective Communication, Lead Generation, Negotiations, Problem Solving, Sales Management, Sales Strategy, Time Management, Certificate"
Pre Sales,Reflex Realty LLP,,"₹ 4,000 - 7,000 /month",https://internshala.com/internship/detail/pre-sales-internship-in-mumbai-at-reflex-realty-llp1785905318,Data Analyst,"Effective Communication, English Proficiency (Written), Certificate"
Operations,ROOTBUZZ Private Limited,,"₹ 6,500 - 10,500 /month",https://internshala.com/internship/detail/operations-internship-in-mumbai-at-rootbuzz-private-limited1786085229,Data Analyst,"MS-Office, Operations, Certificate, Flexible work hours, Informal dress code"
Operations,CircleChess,,"₹ 12,500 - 20,000 /month",https://internshala.com/internship/detail/operations-internship-in-bangalore-at-circlechess1783327946,Data Analyst,"Client Relationship, Client Relationship Management (CRM), Customer Support, Certificate, Letter of recommendation, Flexible work hours, Informal dress code"
